identifier,lenmm,weightg,gear,temp,DO,pH,cond
CSJ2201001LYLP,135,29,FN,21.2,93.9,7.81,87.4
CJS2201002LRUD,108,15,FN,21.2,93.9,7.81,87.4
CSJ2201003LBLC,165,74,FN,21.2,93.9,7.81,87.4
CJS2201004LWLY,203,78,FN,21.2,93.9,7.81,87.4
CJS2201005LPKS,84,14,FN,21.2,93.9,7.81,87.4
CJS2201006LPKS,152,90,HN,21.7,101.2,8.22,70
CJS2201007LRKB,213,196,FN,21.2,93.9,7.81,87.4
CJS2201008LYLP,70,4,FN,21.2,93.9,7.81,87.4
CJS2201009LYLP,61,2,SN,21.8,102.4,8.32,63.2
CJS2201010LBKS,63,1,SN,21.8,102.4,8.32,63.2
CJS2201011LBLG,30,1,SN,21.8,102.4,8.32,63.2
CJS2201012LBKS,60,1,SN,21.8,102.4,8.32,63.2
CJS2201013LSTS,50,2,SN,21.8,102.4,8.32,63.2
CJS2201014LEMS,60,2,SN,21.8,102.4,8.32,63.2
CJS2201015LBLG,40,2,SN,21.8,102.4,8.32,63.2
CJS2201016LBKS,70,1,SN,21.8,102.4,8.32,63.2
CJS2201017LBKS,60,1,SN,21.8,102.4,8.32,63.2
CJS2201018LBLG,40,1,SN,21.8,102.4,8.32,63.2
CJS2201019LBLG,30,1,SN,21.8,102.4,8.32,63.2
CJS2201020LBKS,47,1,SN,21.8,102.4,8.32,63.2
CJS2201021LBLG,30,2,SN,21.8,102.4,8.32,63.2
CJS2201022LBLG,25,2,SN,21.8,102.4,8.32,63.2
CJS2201023LBLG,30,1,SN,21.8,102.4,8.32,63.2
CJS2201024LBLG,25,1,SN,21.8,102.4,8.32,63.2
CJS2201025LCRP,500,6000,SN,21.8,102.4,8.32,63.2
CJS2201026LCRP,505,6000,SN,21.8,102.4,8.32,63.2
CJS2201027LYLP,203,103,SN,21.8,102.4,8.32,63.2
CJS2201028LPKS,118,31,MT,22.7,107.9,8.51,200
CJS2201029LYLP,173,62,SN,21.8,102.4,8.32,63.2
CJS2201030LSGR,236,99,SN,21.8,102.4,8.32,63.2
CJS2201031LSMB,95,13,SN,21.8,102.4,8.32,63.2
CJS2201032LYLP,162,56,SN,21.8,102.4,8.32,63.2
