identifier	lenmm	weightg
CSJ2201001LYLP	135	29
CSJ2201002LRUD	108	15
CSJ2201003LBLC	165	74
CSJ2201004LWLY	203	78
CSJ2201005LPKS	84	14
CSJ2201006LPKS	152	90
CSJ2201007LRKB	213	196
CSJ2201008LYLP	70	4
CSJ2201009LYLP	61	2
CSJ2201010LBKS	63	1
CSJ2201011LBLG	30	1
CSJ2201012LBKS	60	1
CSJ2201013LSTS	50	2
CSJ2201014LEMS	60	2
CSJ2201015LBLG	40	2
CSJ2201016LBKS	70	1
CSJ2201017LBKS	60	1
CSJ2201018LBLG	40	1
CSJ2201019LBLG	30	1
CSJ2201020LBKS	47	1
CSJ2201021LBLG	30	2
CSJ2201022LBLG	25	2
CSJ2201023LBLG	30	1
CSJ2201024LBLG	25	1
CSJ2201025LCRP	500	6000
CSJ2201026LCRP	505	6000
CSJ2201027LYLP	203	103
CSJ2201028LPKS	118	31
CSJ2201029LYLP	173	62
CSJ2201030LSGR	236	99
CSJ2201031LSMB	95	13
CSJ2201032LYLP	162	56
CSJ2201033LWLY	133	22
CSJ2201034LSGR	226	88
CSJ2201035LSHN	86	5
CSJ2201036LYLP	149	37
CSJ2201037LYLP	129	20
CSJ2201038LSHN	76	3
CSJ2201039LPKS	112	21
CSJ2201040LPKS	82	8
CSJ2201041LYLP	67	3
CSJ2201042LYLP	66	2
CSJ2201043LSHN	68	1
CSJ2201044LRKB	191	140
LSL2201001LRKB	128	43
LSL2201002LRKB	175	129
LSL2201003LRKB	140	69
LSL2201004LRKB	53	3
LSL2201005LRKB	48	3
LSL2201006LBLG	36	2
LSL2201007LBLG	35	1
LSL2201008LYLP	103	17
LSL2201009LYLP	80	8
LSL2201010LSMB	270	273
LSL2201011LRKB	140	14
LSL2201012LYLP	125	23
LSL2201013LPKS	78	13
LSL2201014LYLP	85	8
LSL2201015LRKB	47	2
LSL2201016LRKB	74	10
LSL2201017LBLG	34	7
LSL2201018LYLP	80	7
CSJ2202001LSHN	75	4
CSJ2202002LWLY	371	465
CSJ2202003LYLP	182	74
CSJ2202004LPKS	150	88
CSJ2202005LPKS	117	35
CSJ2202006LPKS	119	42
CSJ2202007LPKS	84	14
CSJ2202008LPKS	78	12
CSJ2202009LSTS	66	2
CSJ2202010LBLG	59	2
CSJ2202011LBLG	44	1
CSJ2202012LBLG	44	3
CSJ2202013LYLP	145	33
CSJ2202014LMMS	56	1
CSJ2202015LYLP	75	5
CSJ2202016LYLP	80	7
CSJ2202017LYLP	86	7
CSJ2202018LYLP	76	4
CSJ2202019LYLP	85	7
CSJ2202020LYLP	79	5
CSJ2202021LYLP	81	5
CSJ2202022LYLP	73	4
CSJ2202023LYLP	92	8
CSJ2202024LYLP	82	6
CSJ2202025LYLP	95	9
CSJ2202026LSMB	182	586
CSJ2202027LMNE	340	318
CSJ2202028LMNE	280	239
CSJ2202029LSMB	245	199
CSJ2202030LYLP	87	7
CSJ2202031LYLP	68	4
