identifier	temp	DO	pH	cond	gear
CSJ2201001LYLP	21.2	93.9	7.81	87.4	FN
CSJ2201002LRUD	21.2	93.9	7.81	87.4	FN
CSJ2201003LBLC	21.2	93.9	7.81	87.4	FN
CSJ2201004LWLY	21.2	93.9	7.81	87.4	FN
CSJ2201005LPKS	21.2	93.9	7.81	87.4	FN
CSJ2201006LPKS	21.7	101.2	8.22	70	HN
CSJ2201007LRKB	21.2	93.9	7.81	87.4	FN
CSJ2201008LYLP	21.2	93.9	7.81	87.4	FN
CSJ2201009LYLP	21.8	102.4	8.32	63.2	SN
CSJ2201010LBKS	21.8	102.4	8.32	63.2	SN
CSJ2201011LBLG	21.8	102.4	8.32	63.2	SN
CSJ2201012LBKS	21.8	102.4	8.32	63.2	SN
CSJ2201013LSTS	21.8	102.4	8.32	63.2	SN
CSJ2201014LEMS	21.8	102.4	8.32	63.2	SN
CSJ2201015LBLG	21.8	102.4	8.32	63.2	SN
CSJ2201016LBKS	21.8	102.4	8.32	63.2	SN
CSJ2201017LBKS	21.8	102.4	8.32	63.2	SN
CSJ2201018LBLG	21.8	102.4	8.32	63.2	SN
CSJ2201019LBLG	21.8	102.4	8.32	63.2	SN
CSJ2201020LBKS	21.8	102.4	8.32	63.2	SN
CSJ2201021LBLG	21.8	102.4	8.32	63.2	SN
CSJ2201022LBLG	21.8	102.4	8.32	63.2	SN
CSJ2201023LBLG	21.8	102.4	8.32	63.2	SN
CSJ2201024LBLG	21.8	102.4	8.32	63.2	SN
CSJ2201025LCRP	21.8	102.4	8.32	63.2	SN
CSJ2201026LCRP	21.8	102.4	8.32	63.2	SN
CSJ2201027LYLP	21.8	102.4	8.32	63.2	SN
CSJ2201028LPKS	22.7	107.9	8.51	200	MT
CSJ2201029LYLP	21.8	102.4	8.32	63.2	SN
CSJ2201030LSGR	21.8	102.4	8.32	63.2	SN
CSJ2201031LSMB	21.8	102.4	8.32	63.2	SN
CSJ2201032LYLP	21.8	102.4	8.32	63.2	SN
CSJ2201033LWLY	21.8	102.4	8.32	63.2	SN
CSJ2201034LSGR	21.8	102.4	8.32	63.2	SN
CSJ2201035LSHN	21.8	102.4	8.32	63.2	SN
CSJ2201036LYLP	21.8	102.4	8.32	63.2	SN
CSJ2201037LYLP	21.8	102.4	8.32	63.2	SN
CSJ2201038LSHN	21.8	102.4	8.32	63.2	SN
CSJ2201039LPKS	21.8	102.4	8.32	63.2	SN
CSJ2201040LPKS	21.8	102.4	8.32	63.2	SN
CSJ2201041LYLP	21.8	102.4	8.32	63.2	SN
CSJ2201042LYLP	21.8	102.4	8.32	63.2	SN
CSJ2201043LSHN	21.8	102.4	8.32	63.2	SN
CSJ2201044LRKB	21.7	101.2	8.22	70	HN
LSL2201001LRKB	18	92	7.8	95	FN
LSL2201002LRKB	18	92	7.8	95	FN
LSL2201003LRKB	18	92	7.8	95	FN
LSL2201004LRKB	18	92	7.8	95	FN
LSL2201005LRKB	18	92	7.8	95	FN
LSL2201006LBLG	18	92	7.8	95	MT
LSL2201007LBLG	17.7	98.1	8	99.2	MT
LSL2201008LYLP	18.1	92.3	7.89	89.2	SN
LSL2201009LYLP	18.1	92.3	7.89	89.2	SN
LSL2201010LSMB	17.6	91.8	7.64	103.8	AN
LSL2201011LRKB	18	91.8	7.91	89.5	FN
LSL2201012LYLP	18.1	92.3	7.89	89.2	SN
LSL2201013LPKS	18.1	92.3	7.89	89.2	SN
LSL2201014LYLP	18.1	92.3	7.89	89.2	SN
LSL2201015LRKB	18	92	7.8	95	MT
LSL2201016LRKB	18.1	92.3	7.89	89.2	SN
LSL2201017LBLG	18	92	7.8	95	MT
LSL2201018LYLP	18.1	92.3	7.89	89.2	SN
CSJ2202001LSHN	16	94	7.96	96.9	FN
CSJ2202002LWLY	16	94	7.96	96.9	FN
CSJ2202003LYLP	16	94	7.96	96.9	FN
CSJ2202004LPKS	16	94	7.96	96.9	FN
CSJ2202005LPKS	16	94	7.96	96.9	FN
CSJ2202006LPKS	16	94	7.96	96.9	FN
CSJ2202007LPKS	16	94	7.96	96.9	FN
CSJ2202008LPKS	16	94	7.96	96.9	FN
CSJ2202009LSTS	16	94	7.96	96.9	FN
CSJ2202010LBLG	16	98.3	7.97	97.5	MT
CSJ2202011LBLG	16	98.3	7.97	97.5	MT
CSJ2202012LBLG	16	98.3	7.97	97.5	MT
CSJ2202013LYLP	16	98.3	7.97	97.5	MT
CSJ2202014LMMS	16.3	98.6	8	97.2	SN
CSJ2202015LYLP	16.3	98.6	8	97.2	SN
CSJ2202016LYLP	16.3	98.6	8	97.2	SN
CSJ2202017LYLP	16.3	98.6	8	97.2	SN
CSJ2202018LYLP	16.3	98.6	8	97.2	SN
CSJ2202019LYLP	16.3	98.6	8	97.2	SN
CSJ2202020LYLP	16.3	98.6	8	97.2	SN
CSJ2202021LYLP	16.3	98.6	8	97.2	SN
CSJ2202022LYLP	16.3	98.6	8	97.2	SN
CSJ2202023LYLP	16.3	98.6	8	97.2	SN
CSJ2202024LYLP	16.3	98.6	8	97.2	SN
CSJ2202025LYLP	16.3	98.6	8	97.2	SN
CSJ2202026LSMB	16.3	98.6	8	97.2	SN
CSJ2202027LMNE	16.3	98.6	8	97.2	SN
CSJ2202028LMNE	16	94	7.96	96.9	AN
CSJ2202029LSMB	16.3	98.6	8	97.2	SN
CSJ2202030LYLP	16.3	98.6	8	97.2	SN
CSJ2202031LYLP	16.3	98.6	8	97.2	SN
