identifier,lenmm,weightg,gear,temp,DO,pH,cond
CSJ2201001RYLP,135,29,FN,21.2,93.9,7.81,87.4
CJS2201002RRUD,108,15,FN,21.2,93.9,7.81,87.4
CSJ2201003RBLC,165,74,FN,21.2,93.9,7.81,87.4
CJS2201004RWLY,203,78,FN,21.2,93.9,7.81,87.4
CJS2201005RPKS,84,14,FN,21.2,93.9,7.81,87.4
CJS2201006RPKS,152,90,HN,21.7,101.2,8.22,70
CJS2201007RRKB,213,196,FN,21.2,93.9,7.81,87.4
CJS2201008RYLP,70,4,FN,21.2,93.9,7.81,87.4
CJS2201009RYLP,61,2,SN,21.8,102.4,8.32,63.2
CJS2201010RBKS,63,1,SN,21.8,102.4,8.32,63.2
CJS2201011RBLG,30,1,SN,21.8,102.4,8.32,63.2
CJS2201012RBKS,60,1,SN,21.8,102.4,8.32,63.2
CJS2201013RSTS,50,2,SN,21.8,102.4,8.32,63.2
CJS2201014REMS,60,2,SN,21.8,102.4,8.32,63.2
CJS2201015RBLG,40,2,SN,21.8,102.4,8.32,63.2
CJS2201016RBKS,70,1,SN,21.8,102.4,8.32,63.2
CJS2201017RBKS,60,1,SN,21.8,102.4,8.32,63.2
CJS2201018RBLG,40,1,SN,21.8,102.4,8.32,63.2
CJS2201019RBLG,30,1,SN,21.8,102.4,8.32,63.2
CJS2201020RBKS,47,1,SN,21.8,102.4,8.32,63.2
CJS2201021RBLG,30,2,SN,21.8,102.4,8.32,63.2
CJS2201022RBLG,25,2,SN,21.8,102.4,8.32,63.2
CJS2201023RBLG,30,1,SN,21.8,102.4,8.32,63.2
CJS2201024RBLG,25,1,SN,21.8,102.4,8.32,63.2
CJS2201025RCRP,500,6000,SN,21.8,102.4,8.32,63.2
CJS2201026RCRP,505,6000,SN,21.8,102.4,8.32,63.2
CJS2201027RYLP,203,103,SN,21.8,102.4,8.32,63.2
CJS2201028RPKS,118,31,MT,22.7,107.9,8.51,200
CJS2201029RYLP,173,62,SN,21.8,102.4,8.32,63.2
CJS2201030RSGR,236,99,SN,21.8,102.4,8.32,63.2
CJS2201031RSMB,95,13,SN,21.8,102.4,8.32,63.2
CJS2201032RYLP,162,56,SN,21.8,102.4,8.32,63.2
CJS2201033RWLY,133,22,SN,21.8,102.4,8.32,63.2
CJS2201034RSGR,226,88,SN,21.8,102.4,8.32,63.2
CJS2201035RSHN,86,5,SN,21.8,102.4,8.32,63.2
CJS2201036RYLP,149,37,SN,21.8,102.4,8.32,63.2
CJS2201037RYLP,129,20,SN,21.8,102.4,8.32,63.2
CJS2201038RSHN,76,3,SN,21.8,102.4,8.32,63.2
CJS2201039RPKS,112,21,SN,21.8,102.4,8.32,63.2
CJS2201040RPKS,82,8,SN,21.8,102.4,8.32,63.2
CJS2201041RYLP,67,3,SN,21.8,102.4,8.32,63.2
CJS2201042RYLP,66,2,SN,21.8,102.4,8.32,63.2
CJS2201043RSHN,68,1,SN,21.8,102.4,8.32,63.2
CJS2201044RRKB,191,140,HN,21.7,101.2,8.22,70
LSL2201001RRKB,128,43,FN,18,92,7.8,95
LSL2201002RRKB,175,129,FN,18,92,7.8,95
LSL2201003RRKB,140,69,FN,18,92,7.8,95
LSL2201004RRKB,53,3,FN,18,92,7.8,95
LSL2201005RRKB,48,3,FN,18,92,7.8,95
LSL2201006RBLG,36,2,MT,18,92,7.8,95
LSL2201007RBLG,35,1,MT,17.7,98.1,8,99.2
LSL2201008RYLP,103,17,SN,18.1,92.3,7.89,89.2
LSL2201009RYLP,80,8,SN,18.1,92.3,7.89,89.2
LSL2201010RSMB,270,273,AN,17.6,91.8,7.64,103.8
LSL2201011RRKB,140,14,FN,18,91.8,7.91,89.5
LSL2201012RYLP,125,23,SN,18.1,92.3,7.89,89.2
LSL2201013RPKS,78,13,SN,18.1,92.3,7.89,89.2
LSL2201014RYLP,85,8,SN,18.1,92.3,7.89,89.2
LSL2201015RRKB,47,2,MT,18,92,7.8,95
LSL2201016RRKB,74,10,SN,18.1,92.3,7.89,89.2
LSL2201017RBLG,34,7,MT,18,92,7.8,95
LSL2201018RYLP,80,7,SN,18.1,92.3,7.89,89.2
CSJ2202001RSHN,75,4,FN,16,94,7.96,96.9
CSJ2202002RWLY,371,465,FN,16,94,7.96,96.9
CSJ2202003RYLP,182,74,FN,16,94,7.96,96.9
CSJ2202004RPKS,150,88,FN,16,94,7.96,96.9
CSJ2202005RPKS,117,35,FN,16,94,7.96,96.9
CSJ2202006RPKS,119,42,FN,16,94,7.96,96.9
CSJ2202007RPKS,84,14,FN,16,94,7.96,96.9
CSJ2202008RPKS,78,12,FN,16,94,7.96,96.9
CSJ2202009RSTS,66,2,FN,16,94,7.96,96.9
CSJ2202010RBLG,59,2,MN,16,98.3,7.97,97.5
CSJ2202011RBLG,44,1,MN,16,98.3,7.97,97.5
CSJ2202012RPKS,44,3,MN,16,98.3,7.97,97.5
CSJ2202013RYLP,145,33,MN,16,98.3,7.97,97.5
