identifier	lenmm	weightg
CSJ2201001RYLP	135	29
CSJ2201002RRUD	108	15
CSJ2201003RBLC	165	74
CSJ2201004RWLY	203	78
CSJ2201005RPKS	84	14
CSJ2201006RPKS	152	90
CSJ2201007RRKB	213	196
CSJ2201008RYLP	70	4
CSJ2201009RYLP	61	2
CSJ2201010RBKS	63	1
CSJ2201011RBLG	30	1
CSJ2201012RBKS	60	1
CSJ2201013RSTS	50	2
CSJ2201014REMS	60	2
CSJ2201015RBLG	40	2
CSJ2201016RBKS	70	1
CSJ2201017RBKS	60	1
CSJ2201018RBLG	40	1
CSJ2201019RBLG	30	1
CSJ2201020RBKS	47	1
CSJ2201021RBLG	30	2
CSJ2201022RBLG	25	2
CSJ2201023RBLG	30	1
CSJ2201024RBLG	25	1
CSJ2201025RCRP	500	6000
CSJ2201026RCRP	505	6000
CSJ2201027RYLP	203	103
CSJ2201028RPKS	118	31
CSJ2201029RYLP	173	62
CSJ2201030RSGR	236	99
CSJ2201031RSMB	95	13
CSJ2201032RYLP	162	56
CSJ2201033RWLY	133	22
CSJ2201034RSGR	226	88
CSJ2201035RSHN	86	5
CSJ2201036RYLP	149	37
CSJ2201037RYLP	129	20
CSJ2201038RSHN	76	3
CSJ2201039RPKS	112	21
CSJ2201040RPKS	82	8
CSJ2201041RYLP	67	3
CSJ2201042RYLP	66	2
CSJ2201043RSHN	68	1
CSJ2201044RRKB	191	140
LSL2201001RRKB	128	43
LSL2201002RRKB	175	129
LSL2201003RRKB	140	69
LSL2201004RRKB	53	3
LSL2201005RRKB	48	3
LSL2201006RBLG	36	2
LSL2201007RBLG	35	1
LSL2201008RYLP	103	17
LSL2201009RYLP	80	8
LSL2201010RSMB	270	273
LSL2201011RRKB	140	14
LSL2201012RYLP	125	23
LSL2201013RPKS	78	13
LSL2201014RYLP	85	8
LSL2201015RRKB	47	2
LSL2201016RRKB	74	10
LSL2201017RBLG	34	7
LSL2201018RYLP	80	7
CSJ2202001RSHN	75	4
CSJ2202002RWLY	371	465
CSJ2202003RYLP	182	74
CSJ2202004RPKS	150	88
CSJ2202005RPKS	117	35
CSJ2202006RPKS	119	42
CSJ2202007RPKS	84	14
CSJ2202008RPKS	78	12
CSJ2202009RSTS	66	2
CSJ2202010RBLG	59	2
CSJ2202011RBLG	44	1
CSJ2202012RBLG	44	3
CSJ2202013RYLP	145	33
CSJ2202014RMMS	56	1
CSJ2202015RYLP	75	5
CSJ2202016RYLP	80	7
CSJ2202017RYLP	86	7
CSJ2202018RYLP	76	4
CSJ2202019RYLP	85	7
CSJ2202020RYLP	79	5
CSJ2202021RYLP	81	5
CSJ2202022RYLP	73	4
CSJ2202023RYLP	92	8
CSJ2202024RYLP	82	6
CSJ2202025RYLP	95	9
CSJ2202026RSMB	182	586
CSJ2202027RMNE	340	318
CSJ2202028RMNE	280	239
CSJ2202029RSMB	245	199
CSJ2202030RYLP	87	7
CSJ2202031RYLP	68	4
