identifier,lenmm,weightg,temp,DO,pH,cond,gear
CSJ2301001PKS,100,16.3,21.3,84.3,7.72,99.6,FN
CSJ2301002PKS,40,12,21.3,84.3,7.72,99.6,FN
CSJ2301003PKS,41,17.7,21.3,84.3,7.72,99.6,FN
CSJ2301004PKS,199,209.2,21.3,84.3,7.72,99.6,FN
CSJ2301005PKS,38,11.3,21.3,84.3,7.72,99.6,FN
CSJ2301006PKS,46,16.4,21.3,84.3,7.72,99.6,FN
CSJ2301007BGL,40,14,21.3,84.3,7.72,99.6,FN
CSJ2301008PKS,155,92.2,21.3,69.5,7.3,106.3,FN
CSJ2301009SMB,350,1000,21.3,84.3,7.72,99.6,FN
CSJ2301010RKB,136,47.5,21.3,84.3,7.72,99.6,FN
CSJ2301011PKS,100,19.1,21.3,84.3,7.72,99.6,FN
CSJ2301012BGL,71,9,21.3,69.5,7.3,106.3,FN
CSJ2301013BDS,92,3.4,21.3,69.5,7.3,106.3,FN
CSJ2301014PKS,90,16.7,21.3,69.5,7.3,106.3,FN
CSJ2301015PKS,90,16.9,21.3,69.5,7.3,106.3,FN
CSJ2301016PKS,94,14.8,21.3,69.5,7.3,106.3,FN
CSJ2301017PKS,30,6.5,21.3,69.5,7.3,106.3,FN
CSJ2301018BGL,45,7,21.3,69.5,7.3,106.3,FN
CSJ2301019BGL,50,7.4,21.3,69.5,7.3,106.3,FN
CSJ2301020PKS,73,8.6,21.3,69.5,7.3,106.3,FN
CSJ2301021BGL,33,0.4,21.3,69.5,7.3,106.3,FN
CSJ2301022BGL,34,0.6,21.3,69.5,7.3,106.3,FN
CSJ2301023BGL,31,0.4,21.3,69.5,7.3,106.3,FN
CSJ2301024BGL,37,1,21.3,69.5,7.3,106.3,FN
CSJ2301025BGL,31,0.5,21.3,69.5,7.3,106.3,FN
CSJ2301026BGL,47,1.7,21.3,69.5,7.3,106.3,FN
CSJ2301027BGL,40,1.2,21.3,69.5,7.3,106.3,FN
CSJ2301028BGL,29,0.2,21.3,69.5,7.3,106.3,FN
CSJ2301029BGL,33,0.4,21.3,69.5,7.3,106.3,FN
CSJ2301030BGL,31,0.4,21.3,69.5,7.3,106.3,FN
CSJ2301031BGL,34,0.4,21.3,69.5,7.3,106.3,FN
CSJ2301032BGL,32,0.4,21.3,69.5,7.3,106.3,FN
CSJ2301033YLP,220,146,21.3,69.5,7.3,106.3,AN
CSJ2301034PKS,156,83.2,21.3,69.5,7.3,106.3,HN
CSJ2301035PKS,138,57.9,21.3,69.5,7.3,106.3,HN
CSJ2301036PKS,139,58.3,21.3,69.5,7.3,106.3,HN
CSJ2301037PKS,125,47.7,21.3,84.3,7.72,99.6,HN
CSJ2301038BKS,67,1.4,21.3,84.3,7.72,99.6,SN
CSJ2301039PKS,151,77.7,19.2,82.3,7.5,79.8,HN
LSL2301001BBH,160,36.9,19.3,82.6,7.5,78.5,FN
LSL2301002RKB,160,79.7,19.3,82.6,7.5,78.5,FN
LSL2301003RKB,190,139.1,19.3,82.6,7.5,78.5,FN
LSL2301004WAL,130,16.2,19.3,82.6,7.5,78.5,FN
LSL2301005RKB,120,42.1,19.3,82.6,7.5,78.5,FN
LSL2301006RKB,150,74.6,19.3,82.6,7.5,78.5,HN
LSL2301007SMB,70,5.1,19.2,82.3,7.5,79.8,FN
LSL2301008YLP,260,201.6,19.2,82.3,7.5,79.8,HN
LSL2301009YLP,250,194.5,19.2,82.3,7.5,79.8,HN
LSL2301010YLP,240,157.8,19.2,82.3,7.5,79.8,AN
LSL2301011YLP,190,78.5,19.3,82.6,7.5,78.5,AN
LSL2301012RKB,94,14.2,19.3,82.6,7.5,78.5,FN
LSL2301013RKB,88,11.9,19.3,82.6,7.5,78.5,FN
LSL2301014RKB,74,6.3,19.3,82.6,7.5,78.5,FN
LSL2301015SMB,75,4.2,19.2,82.3,7.5,79.8,FN
LSL2301016YLP,160,46.5,19.2,82.3,7.5,79.8,SN
LSL2301017YLP,220,133.7,19.2,82.3,7.5,79.8,SN
LSL2301018YLP,120,20.1,19.2,82.3,7.5,79.8,SN
LSL2301019RKB,90,14.5,19.2,82.3,7.5,79.8,SN
LSL2301020RKB,110,25.4,19.2,82.3,7.5,79.8,SN
LSL2301021SMB,190,82.5,19.2,82.3,7.5,79.8,AN
LSL2301022YLP,120,19.4,19.2,82.3,7.5,79.8,SN
LSL2301023YLP,150,38.9,19.2,82.3,7.5,79.8,AN
LSL2301024LGP,100,7.8,19.2,82.3,7.5,79.8,SN
CSJ2302001STS,60,1.7,17.2,87.5,7.74,82.7,FN
CSJ2302002PKS,150,73.8,17.2,87.5,7.74,82.7,FN
CSJ2302003PKS,185,168.3,17.2,87.5,7.74,82.7,FN
CSJ2302004YLP,172,63.3,17.2,87.5,7.74,82.7,FN
CSJ2302005YLP,145,47.5,17.2,87.5,7.74,82.7,FN
CSJ2302006STS,55,2.2,17.2,87.5,7.74,82.7,FN
CSJ2302007STS,55,2.3,17.2,87.5,7.74,82.7,FN
CSJ2302008STS,60,2,17.2,87.5,7.74,82.7,FN
CSJ2302009STS,60,2,17.2,87.5,7.74,82.7,FN
CSJ2302010EMS,57,1.8,17.2,87.5,7.74,82.7,FN
CSJ2302011EMS,55,1.7,17.2,87.5,7.74,82.7,FN
CSJ2302012EMS,60,2.1,17.2,87.5,7.74,82.7,FN
CSJ2302013EMS,52,1.2,17.2,87.5,7.74,82.7,FN
CSJ2302014EMS,50,1.6,17.2,87.5,7.74,82.7,FN
CSJ2302015EMS,55,1.4,17.2,87.5,7.74,82.7,FN
CSJ2302016EMS,55,1.2,17.2,87.5,7.74,82.7,FN
CSJ2302017STS,60,1.8,17.2,87.5,7.74,82.7,FN
CSJ2302018PKS,145,66.5,17.1,90.2,7.73,85.6,FN
CSJ2302019YLP,120,18.9,17.1,90.2,7.73,85.6,FN
CSJ2302020PKS,85,10.9,17.1,90.2,7.73,85.6,FN
CSJ2302021PKS,115,30.7,17.1,90.2,7.73,85.6,FN
CSJ2302022YLP,210,108.8,17.1,90.2,7.73,85.6,FN
CSJ2302023BGL,50,2.4,17.1,90.2,7.73,85.6,FN
CSJ2302024PKS,110,23.6,17.1,90.2,7.73,85.6,FN
CSJ2302025EMS,50,1.4,17.1,90.2,7.73,85.6,FN
CSJ2302026STS,55,1.4,17.1,90.2,7.73,85.6,FN
CSJ2302027PKS,140,60,17.1,90.2,7.73,85.6,FN
CSJ2302028PKS,124,37.1,17.1,90.2,7.73,85.6,FN
CSJ2302029PKS,105,25.3,17.1,90.2,7.73,85.6,FN
CSJ2302030PKS,110,25.6,17.1,90.2,7.73,85.6,FN
CSJ2302031BBH,280,500,17.1,90.2,7.73,85.6,FN
CSJ2302032PKS,87,13.6,17.1,90.2,7.73,85.6,FN
CSJ2302033EMS,52,1.2,17.1,90.2,7.73,85.6,FN
CSJ2302034EMS,60,2,17.1,90.2,7.73,85.6,FN
CSJ2302035EMS,67,1.8,17.1,90.2,7.73,85.6,FN
CSJ2302036EMS,57,1.7,17.1,90.2,7.73,85.6,FN
CSJ2302037BKS,73,1.5,17.1,90.2,7.73,85.6,SN
CSJ2302038YLP,222,136.1,17.2,87.5,7.74,87.5,AN
CSJ2302039RKB,172,98.8,17.2,87.5,7.74,87.5,HN
CSJ2302040NHP,252,97.2,17.2,87.5,7.74,87.5,SN
CSJ2302041PKS,142,66.1,17.2,87.5,7.74,87.5,SN
CSJ2302042LMB,123,26.5,17.2,87.5,7.74,87.5,SN
CSJ2302043YLP,151,38.3,17.2,87.5,7.74,87.5,SN
CSJ2302044SMB,119,22.5,17.2,87.5,7.74,87.5,SN
CSJ2302045STS,88,5.8,17.2,87.5,7.74,87.5,SN
CSJ2302046LGP,96,7.9,17.2,87.5,7.74,87.5,SN
CSJ2302047STS,60,1.8,17.2,87.5,7.74,87.5,SN
