identifier	temp	DO	pH	cond	gear
CSJ2301001PKS	21.3	84.3	7.72	99.6	FN
CSJ2301002PKS	21.3	84.3	7.72	99.6	FN
CSJ2301003PKS	21.3	84.3	7.72	99.6	FN
CSJ2301004PKS	21.3	84.3	7.72	99.6	FN
CSJ2301005PKS	21.3	84.3	7.72	99.6	FN
CSJ2301006PKS	21.3	84.3	7.72	99.6	FN
CSJ2301007BGL	21.3	84.3	7.72	99.6	FN
CSJ2301008PKS	21.3	69.5	7.3	106.3	FN
CSJ2301009SMB	21.3	84.3	7.72	99.6	FN
CSJ2301010RKB	21.3	84.3	7.72	99.6	FN
CSJ2301011PKS	21.3	84.3	7.72	99.6	FN
CSJ2301012BGL	21.3	69.5	7.3	106.3	FN
CSJ2301013BDS	21.3	69.5	7.3	106.3	FN
CSJ2301014PKS	21.3	69.5	7.3	106.3	FN
CSJ2301015PKS	21.3	69.5	7.3	106.3	FN
CSJ2301016PKS	21.3	69.5	7.3	106.3	FN
CSJ2301017PKS	21.3	69.5	7.3	106.3	FN
CSJ2301018BGL	21.3	69.5	7.3	106.3	FN
CSJ2301019BGL	21.3	69.5	7.3	106.3	FN
CSJ2301020PKS	21.3	69.5	7.3	106.3	FN
CSJ2301021BGL	21.3	69.5	7.3	106.3	FN
CSJ2301022BGL	21.3	69.5	7.3	106.3	FN
CSJ2301023BGL	21.3	69.5	7.3	106.3	FN
CSJ2301024BGL	21.3	69.5	7.3	106.3	FN
CSJ2301025BGL	21.3	69.5	7.3	106.3	FN
CSJ2301026BGL	21.3	69.5	7.3	106.3	FN
CSJ2301027BGL	21.3	69.5	7.3	106.3	FN
CSJ2301028BGL	21.3	69.5	7.3	106.3	FN
CSJ2301029BGL	21.3	69.5	7.3	106.3	FN
CSJ2301030BGL	21.3	69.5	7.3	106.3	FN
CSJ2301031BGL	21.3	69.5	7.3	106.3	FN
CSJ2301032BGL	21.3	69.5	7.3	106.3	FN
CSJ2301033YLP	21.3	69.5	7.3	106.3	ANG
CSJ2301034PKS	21.3	69.5	7.3	106.3	HN
CSJ2301035PKS	21.3	69.5	7.3	106.3	HN
CSJ2301036PKS	21.3	69.5	7.3	106.3	HN
CSJ2301037PKS	21.3	84.3	7.72	99.6	HN
CSJ2301038BKS	21.3	84.3	7.72	99.6	SN
CSJ2301039PKS	19.2	82.3	7.5	79.8	HN
LSL2301001BBH	19.3	82.6	7.5	78.5	FN
LSL2301002RKB	19.3	82.6	7.5	78.5	FN
LSL2301003RKB	19.3	82.6	7.5	78.5	FN
LSL2301004WAL	19.3	82.6	7.5	78.5	FN
LSL2301005RKB	19.3	82.6	7.5	78.5	FN
LSL2301006RKB	19.3	82.6	7.5	78.5	HN
LSL2301007SMB	19.2	82.3	7.5	79.8	FN
LSL2301008YLP	19.2	82.3	7.5	79.8	HN
LSL2301009YLP	19.2	82.3	7.5	79.8	HN
LSL2301010YLP	19.2	82.3	7.5	79.8	ANG
LSL2301011YLP	19.3	82.6	7.5	78.5	ANG
LSL2301012RKB	19.3	82.6	7.5	78.5	FN
LSL2301013RKB	19.3	82.6	7.5	78.5	FN
LSL2301014RKB	19.3	82.6	7.5	78.5	FN
LSL2301015SMB	19.2	82.3	7.5	79.8	FN
LSL2301016YLP	19.2	82.3	7.5	79.8	SN
LSL2301017YLP	19.2	82.3	7.5	79.8	SN
LSL2301018YLP	19.2	82.3	7.5	79.8	SN
LSL2301019RKB	19.2	82.3	7.5	79.8	SN
LSL2301020RKB	19.2	82.3	7.5	79.8	SN
LSL2301021SMB	19.2	82.3	7.5	79.8	ANG
LSL2301022YLP	19.2	82.3	7.5	79.8	SN
LSL2301023YLP	19.2	82.3	7.5	79.8	ANG
LSL2301024LGP	19.2	82.3	7.5	79.8	SN
CSJ2302001STS	17.2	87.5	7.74	82.7	FN
CSJ2302002PKS	17.2	87.5	7.74	82.7	FN
CSJ2302003PKS	17.2	87.5	7.74	82.7	FN
CSJ2302004YLP	17.2	87.5	7.74	82.7	FN
CSJ2302005YLP	17.2	87.5	7.74	82.7	FN
CSJ2302006STS	17.2	87.5	7.74	82.7	FN
CSJ2302007STS	17.2	87.5	7.74	82.7	FN
CSJ2302008STS	17.2	87.5	7.74	82.7	FN
CSJ2302009STS	17.2	87.5	7.74	82.7	FN
CSJ2302010EMS	17.2	87.5	7.74	82.7	FN
CSJ2302011EMS	17.2	87.5	7.74	82.7	FN
CSJ2302012EMS	17.2	87.5	7.74	82.7	FN
CSJ2302013EMS	17.2	87.5	7.74	82.7	FN
CSJ2302014EMS	17.2	87.5	7.74	82.7	FN
CSJ2302015EMS	17.2	87.5	7.74	82.7	FN
CSJ2302016EMS	17.2	87.5	7.74	82.7	FN
CSJ2302017STS	17.2	87.5	7.74	82.7	FN
CSJ2302018PKS	17.1	90.2	7.73	85.6	FN
CSJ2302019YLP	17.1	90.2	7.73	85.6	FN
CSJ2302020PKS	17.1	90.2	7.73	85.6	FN
CSJ2302021PKS	17.1	90.2	7.73	85.6	FN
CSJ2302022YLP	17.1	90.2	7.73	85.6	FN
CSJ2302023BGL	17.1	90.2	7.73	85.6	FN
CSJ2302024PKS	17.1	90.2	7.73	85.6	FN
CSJ2302025EMS	17.1	90.2	7.73	85.6	FN
CSJ2302026STS	17.1	90.2	7.73	85.6	FN
CSJ2302027PKS	17.1	90.2	7.73	85.6	FN
CSJ2302028PKS	17.1	90.2	7.73	85.6	FN
CSJ2302029PKS	17.1	90.2	7.73	85.6	FN
CSJ2302030PKS	17.1	90.2	7.73	85.6	FN
CSJ2302031BBH	17.1	90.2	7.73	85.6	FN
CSJ2302032PKS	17.1	90.2	7.73	85.6	FN
CSJ2302033EMS	17.1	90.2	7.73	85.6	FN
CSJ2302034EMS	17.1	90.2	7.73	85.6	FN
CSJ2302035EMS	17.1	90.2	7.73	85.6	FN
CSJ2302036EMS	17.1	90.2	7.73	85.6	FN
CSJ2302037BKS	17.1	90.2	7.73	85.6	SN
CSJ2302038YLP	17.2	87.5	7.74	87.5	ANG
CSJ2302039RKB	17.2	87.5	7.74	87.5	HN
CSJ2302040NHP	17.2	87.5	7.74	87.5	SN
CSJ2302041PKS	17.2	87.5	7.74	87.5	SN
CSJ2302042LMB	17.2	87.5	7.74	87.5	SN
CSJ2302043YLP	17.2	87.5	7.74	87.5	SN
CSJ2302044SMB	17.2	87.5	7.74	87.5	SN
CSJ2302045STS	17.2	87.5	7.74	87.5	SN
CSJ2302046LGP	17.2	87.5	7.74	87.5	SN
CSJ2302047STS	17.2	87.5	7.74	87.5	SN	
